USC00244596,19270101,TMIN,-17,,,6,
USC00244596,19270101,TOBS,17,,,6,
USC00244596,19270101,PRCP,0,P,,6,
USC00244596,19270101,SNOW,0,,,6,
USC00244596,19280101,TMAX,-244,,,6,
USC00244596,19280101,TMIN,-406,,,6,
USC00244596,19280101,TOBS,-278,,,6,
USC00244596,19280101,SNOW,102,,,6,
USC00244596,19280101,SNWD,102,,,6,
USC00244596,19290101,TMAX,-22,,,6,
USC00244596,19290101,TMIN,-278,,,6,
USC00244596,19290101,TOBS,-67,,,6,
USC00244596,19290101,PRCP,0,P,,6,
USC00244596,19290101,SNOW,0,,,6,
USC00244596,19290101,SNWD,76,,,6,
USC00244596,19300101,PRCP,0,P,,6,
USC00244596,19300101,SNOW,0,,,6,
USC00244596,19320101,TMAX,-22,,,6,
USC00244596,19320101,TMIN,-144,,,6,
USC00244596,19320101,TOBS,-78,,,6,
USC00244596,19320101,PRCP,0,P,,6,
USC00244596,19320101,SNOW,0,,,6,
USC00244596,19330101,TMAX,11,,,6,
USC00244596,19330101,TMIN,-89,,,6,
USC00244596,19330101,TOBS,-22,,,6,
USC00244596,19330101,SNWD,76,,,6,
USC00244596,19350101,TMAX,56,,,6,
USC00244596,19350101,TMIN,-6,,,6,
USC00244596,19350101,TOBS,22,,,6,
USC00244596,19350101,PRCP,0,P,,6,
USC00244596,19360101,TMAX,61,,,6,
USC00244596,19360101,TMIN,-67,,I,6,
USC00244596,19360101,TOBS,28,,,6,
USC00244596,19360101,PRCP,0,P,,6,
USC00244596,19360101,SNOW,0,,,6,
US1FLSL0019,20090101,PRCP,0,,,N,
US1FLSL0019,20090101,SNOW,0,,,N,
US1FLSL0019,20100101,PRCP,0,T,,N,
US1FLSL0019,20110101,PRCP,0,T,,N,
US1FLSL0019,20120101,PRCP,0,,,N,
US1FLSL0019,20120101,SNOW,0,,,N,
US1FLSL0019,20130101,PRCP,0,,,N,
US1FLSL0019,20130101,SNOW,0,,,N,
US1FLSL0019,20140101,PRCP,0,T,,N,
US1FLSL0019,20150101,PRCP,173,,,N,
US1FLSL0019,20160101,PRCP,3,,,N,
ASN00037003,19060101,PRCP,533,,,a,
ASN00037003,19070101,PRCP,0,,,a,
ASN00037003,19080101,PRCP,0,,,a,
ASN00037003,19090101,PRCP,0,,,a,
ASN00037003,19100101,PRCP,51,,,a,
ASN00037003,19110101,PRCP,0,,,a,
ASN00037003,19120101,PRCP,0,,,a,
ASN00037003,19130101,PRCP,0,,,a,
ASN00037003,19140101,PRCP,0,,,a,
ASN00037003,19150101,PRCP,0,,,a,
ASN00037003,19160101,PRCP,0,,,a,
ASN00037003,19170101,PRCP,0,,,a,
ASN00037003,19180101,PRCP,0,,,a,
ASN00037003,19190101,PRCP,0,,,a,
ASN00037003,19200101,PRCP,0,,,a,
ASN00037003,19290101,PRCP,0,,,a,
ASN00037003,19300101,PRCP,0,,,a,
ASN00037003,19320101,PRCP,0,,,a,
ASN00037003,19330101,PRCP,0,,,a,
ASN00037003,19340101,PRCP,0,,,a,
ASN00037003,19350101,PRCP,0,,,a,
ASN00037003,19360101,PRCP,0,,,a,
ASN00037003,19370101,PRCP,0,,,a,
ASN00037003,19380101,PRCP,0,,,a,
ASN00037003,19390101,PRCP,0,,,a,
ASN00037003,19420101,PRCP,0,,,a,
ASN00037003,19430101,PRCP,0,,,a,
ASN00037003,19440101,PRCP,0,,,a,
ASN00037003,19450101,PRCP,0,,,a,
ASN00037003,19460101,PRCP,0,,,a,
ASN00037003,19470101,PRCP,0,,,a,
ASN00037003,19480101,PRCP,0,,,a,
ASN00037003,19490101,PRCP,0,,,a,
